numbers,Fe-Fe bond,Fe-C bond,1-fold,2-fold,3-fold,4-fold,5-fold,location,ads,ads(mass),Eb(eV)
11,2.444607684,2.33168871,4,1,6,0,0,0,8,16,-3.369462768
12,2.448341189,2.335591744,5,1,6,0,0,0,8,16,-3.292276597
13,2.468148881,2.340211463,5,2,6,0,0,0,8,16,-3.29263193
14,2.473762277,2.345241307,4,3,7,0,0,0,8,16,-3.325094156
15,2.494584518,2.313949496,4,3,7,1,0,0,8,16,-3.298513215
16,2.497131598,2.313300081,4,4,7,1,0,0,8,16,-3.337317618
17,2.505306194,2.320131599,4,5,7,1,0,0,8,16,-3.335034615
1,2.436913827,2.232093027,0,0,1,0,0,0,8,16,-2.715751645
2,2.425006235,2.231456142,0,0,1,1,0,0,8,16,-3.220278091
3,2.419837303,2.283468479,0,0,2,1,0,0,8,16,-3.539535555
4,2.415436346,2.276613804,0,0,4,0,0,0,8,16,-3.521117128
5,2.42614462,2.273795274,0,1,4,0,0,0,8,16,-3.508046673
6,2.41959734,2.260581263,1,1,4,0,0,0,8,16,-3.326870715
7,2.41587689,2.282338618,1,2,4,0,0,0,8,16,-3.45111879
8,2.421279613,2.294875512,1,2,5,0,0,0,8,16,-3.446396047
9,2.414624657,2.303386162,1,2,6,0,0,0,8,16,-3.431967023
10,2.41750377,2.299143079,1,2,7,0,0,0,8,16,-3.37908494
11,2.437534646,2.303570513,1,3,7,0,0,0,8,16,-3.360741535
12,2.443285167,2.292632682,1,3,8,0,0,0,8,16,-3.427293197
13,2.452507405,2.302273162,1,3,9,0,0,0,8,16,-3.485319278
14,2.447954426,2.316768329,1,3,10,0,0,0,8,16,-3.410583704
15,2.454380127,2.326397722,1,3,11,0,0,0,8,16,-3.413928335
16,2.457144474,2.333411907,1,3,12,0,0,0,8,16,-3.366944945
17,2.478182105,2.347860643,1,4,12,0,0,0,8,16,-3.406821314
18,2.497750678,2.325111632,1,5,12,0,0,0,8,16,-3.463318692
19,2.498866858,2.341854965,2,5,12,0,0,0,8,16,-3.399482135
20,2.511403111,2.359963743,1,6,13,0,0,0,8,16,-3.369702307
1,2.405946737,2.275331153,0,0,1,0,0,0,8,16,-3.514247053
2,2.418977972,2.281603773,0,0,2,0,0,0,8,16,-3.476880476
3,2.421175879,2.272997124,0,1,2,0,0,0,8,16,-3.495011774
4,2.421661389,2.274237016,1,1,2,0,0,0,8,16,-3.350092436
5,2.431303299,2.279864615,1,1,3,0,0,0,8,16,-3.427410525
6,2.427131643,2.276549843,1,1,4,0,0,0,8,16,-3.535070174
7,2.422790733,2.255126034,1,1,5,0,0,0,8,16,-3.531063514
8,2.431431196,2.278364123,1,1,6,0,0,0,8,16,-3.545600515
9,2.434536992,2.27527619,2,1,6,0,0,0,8,16,-3.470549194
